Id,Predicted
0,1
1,1
2,0
3,0
4,1
5,0
6,1
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,0
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,1
51,1
52,0
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,1
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,0
69,0
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,1
78,0
79,0
80,0
81,1
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,0
90,1
91,1
92,1
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,1
113,0
114,1
115,1
116,1
117,1
118,1
119,0
120,0
121,0
122,1
123,1
124,1
125,0
126,0
127,1
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,1
141,1
142,0
143,0
144,0
145,1
146,0
147,0
148,1
149,1
150,1
151,1
152,1
153,1
154,0
155,0
156,1
157,0
158,1
159,0
160,0
161,0
162,1
163,1
164,1
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,1
173,1
174,0
175,0
176,1
177,0
178,0
179,0
180,1
181,1
182,1
183,1
184,1
185,0
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,0
203,0
204,1
205,0
206,0
207,0
208,1
209,1
210,0
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,0
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,1
238,1
239,1
240,1
241,1
242,0
243,1
244,1
245,1
246,0
247,0
248,0
249,1
250,1
251,0
252,0
253,1
254,1
255,1
256,1
257,1
258,0
259,0
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,0
269,1
270,0
271,1
272,1
273,0
274,1
275,0
276,0
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,0
295,0
296,1
297,1
298,0
299,1
300,1
301,0
302,1
303,0
304,0
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,0
320,0
321,0
322,1
323,0
324,0
325,0
326,1
327,1
328,0
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,0
337,1
338,1
339,1
340,1
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,0
354,0
355,1
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,0
364,1
365,1
366,0
367,0
368,1
369,0
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,1
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,0
386,0
387,1
388,1
389,1
390,1
391,0
392,1
393,1
394,0
395,0
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,1
404,1
405,0
406,1
407,0
408,1
409,0
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,0
421,1
422,1
423,0
424,1
425,1
426,0
427,1
428,0
429,1
430,0
431,0
432,1
433,0
434,1
435,1
436,1
437,0
438,1
439,0
440,0
441,1
442,0
443,1
444,0
445,0
446,1
447,1
448,0
449,0
450,0
451,1
452,1
453,0
454,1
455,1
456,1
457,1
458,1
459,0
460,0
461,1
462,1
463,1
464,1
465,0
466,0
467,0
468,1
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,1
477,1
478,0
479,1
480,1
481,1
482,1
483,0
484,1
485,1
486,0
487,0
488,0
489,1
490,0
491,0
492,1
493,1
494,1
495,0
496,1
497,0
498,1
499,0
500,0
501,0
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,1
512,0
513,0
514,1
515,1
516,1
517,0
518,0
519,1
520,1
521,1
522,1
523,1
524,0
525,0
526,1
527,1
528,0
529,1
530,1
531,0
532,1
533,1
534,1
535,0
536,1
537,1
538,1
539,0
540,1
541,1
542,1
543,0
544,1
545,0
546,0
547,0
548,0
549,1
550,0
551,0
552,1
553,1
554,1
555,0
556,1
557,0
558,0
559,0
560,0
561,1
562,1
563,0
564,0
565,1
566,1
567,1
568,1
569,0
570,1
571,0
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,0
590,1
591,0
592,0
593,1
594,1
595,1
596,1
597,0
598,1
599,1
600,0
601,0
602,1
603,0
604,1
605,0
606,1
607,0
608,1
609,0
610,1
611,0
612,1
613,0
614,1
615,1
616,0
617,1
618,1
619,1
620,1
621,1
622,1
623,0
624,0
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,0
633,0
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,0
646,1
647,1
648,0
649,1
650,1
651,1
652,0
653,0
654,0
655,1
656,0
657,0
658,0
659,0
660,1
661,0
662,1
663,1
664,0
665,1
666,1
667,1
668,1
669,0
670,0
671,0
672,1
673,0
674,1
675,1
676,0
677,1
678,0
679,1
680,0
681,0
682,0
683,0
684,1
685,1
686,0
687,1
688,1
689,0
690,0
691,0
692,1
693,0
694,1
695,0
696,1
697,1
698,0
699,1
700,0
701,1
702,1
703,0
704,1
705,0
706,0
707,0
708,1
709,1
710,0
711,1
712,1
713,0
714,0
715,1
716,0
717,1
718,1
719,0
720,1
721,1
722,0
723,1
724,1
725,1
726,0
727,0
728,1
729,1
730,1
731,1
732,0
733,1
734,1
735,1
736,1
737,1
738,0
739,0
740,0
741,0
742,0
743,1
744,0
745,1
746,1
747,1
748,0
749,1
750,1
751,0
752,0
753,0
754,0
755,1
756,1
757,1
758,1
759,1
760,0
761,0
762,0
763,1
764,1
765,0
766,0
767,1
768,1
769,0
770,1
771,0
772,1
773,0
774,1
775,1
776,0
777,0
778,0
779,1
780,1
781,1
782,1
783,1
784,1
785,0
786,1
787,1
788,1
789,0
790,1
791,1
792,0
793,1
794,0
795,1
796,0
797,0
798,1
799,0
800,0
801,1
802,0
803,0
804,0
805,0
806,1
807,0
808,0
809,1
810,1
811,1
